Uin(mv);20;100;200;300;400;500;600;700;800;900;1000;1100;1200;1300;1400;1500;1600;1700;1800;1900;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Uout(mv);23;31;43;64;84;110;135;161;187;214;243;274;304;334;366;395;425;454;484;514;544;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
u1(mv);232;232;232;228;228;236;236;236;240;236;236;236;236;236;236;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
frec1(kHz);1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
u2(mv);160;154;144;126;114;108;98;88;82;74;72;70;66;64;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
frec2(kHz);1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
U(detec=on)(mv);320;320;320;320;320;320;320;480;560;800;1040;1120;1280;1360;1520;1760;2000;2480;3200;4480;6640;6880;7120;7360;7520;7600;7680;7760;7680;7600;7520;5280;3760;2720;2320;1920;1680;1520;1360;1200;800;720;640;560;560;560;480;480;480;480;480;400;400;400;400;400;400;400;400;400;400
frec(kHz);30;40;50;60;70;80;90;100;110;120;125;126;127;128;129;130;131;132;133;134;135;135.1;135.2;135.3;135.4;135.5;135.6;135.7;135.8;135.9;136;137;138;139;140;141;142;143;144;145;150;155;160;165;170;175;180;185;190;195;200;210;220;230;240;250;260;270;280;290;300
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
U(detec=off)(mv);320;320;320;320;400;400;400;480;560;800;1040;1120;1200;1360;1520;1680;2000;2480;3280;4720;7760;8320;8640;9020;9520;9840;10000;10200;10100;9920;9680;6000;3920;2880;2320;1920;1600;1520;1280;1200;880;800;640;560;560;560;480;480;480;480;400;400;400;400;400;400;400;400;400;400;
frec(kHz);30;40;50;60;70;80;90;100;110;120;125;126;127;128;129;130;131;132;133;134;135;135.1;135.2;135.3;135.4;135.5;135.6;135.7;135.8;135.9;136;137;138;139;140;141;142;143;144;145;150;155;160;165;170;175;180;185;190;195;200;210;220;230;240;250;260;270;280;290;300
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R(kOm);99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;